battery_id,discharge_cycle_index,capacity_Ah,ambient_temperature_C,voltage_mean,voltage_min,voltage_max,current_mean,current_min,temperature_mean,temperature_max,discharge_duration_s,SoH_pct
B0005,1,1.8564874208181574,24,3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679727,-2.0180146876333027,32.572328114029,38.98218133148803,3690.234,92.82437104090788
B0005,2,1.846327249719927,24,3.5373201277859714,2.587208728940726,4.189773213846608,-1.8175598506612867,-2.016820542901454,32.72523522519307,39.033397966787035,3672.344,92.31636248599635
B0005,3,1.8353491942234077,24,3.5437367282719,2.6519168938437794,4.188186735991303,-1.8164865418840956,-2.016573862170142,32.64286193755933,38.818796689817404,3651.641,91.76745971117039
B0005,4,1.8352625275821128,24,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,-2.0159359571668354,32.51487646204882,38.7623045063458,3631.563,91.76312637910564
B0005,5,1.8346455082120419,24,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277586,-2.017425579158831,32.38234901543077,38.66539257343368,3629.172,91.7322754106021
B0005,6,1.8356616600675495,24,3.5413347346347575,2.5209480504077413,4.188815807948604,-1.8168108743168803,-2.0162347618032066,32.43418218230641,38.75169504640032,3652.281,91.78308300337747
B0005,7,1.8351461429226603,24,3.5410250495075215,2.487927319492314,4.18839163793879,-1.816791144707133,-2.01583310669507,32.480416444757985,38.8207012322275,3650.828,91.75730714613302
B0005,8,1.8257567905665537,24,3.554133296801584,2.6652049047458775,4.188927891511958,-1.8443412120754061,-2.0166395518034546,32.41046186109587,38.51713023385634,3572.453,91.28783952832768
B0005,9,1.8247738529891333,24,3.5529355991467955,2.6038584726333673,4.189029250882121,-1.853972745505648,-2.018357230695621,32.3461408313,38.526267904657,3550.594,91.23869264945667
B0005,10,1.824613268496936,24,3.5512057319376997,2.552853984885676,4.189223427076418,-1.8535899338510957,-2.0160718378149842,32.27679750791685,38.52698128472781,3551.25,91.2306634248468
B0005,11,1.8246195526864504,24,3.549292319740949,2.4724483018527317,4.188916055911241,-1.863380178294828,-2.0160713863396573,32.15709350345252,38.54143406601644,3530.25,91.23097763432251
B0005,12,1.8142019357673917,24,3.559759220648976,2.64956413267546,4.189876247266316,-1.872968810287894,-2.016851865845563,32.36407129853099,38.52197451768004,3491.016,90.71009678836958
B0005,13,1.8137521577549054,24,3.558081969139198,2.5724981777366227,4.189286794768804,-1.8826095043160833,-2.016393908986775,32.3181954403762,38.582485834057856,3470.281,90.68760788774527
B0005,14,1.8134404914735822,24,3.555692244172496,2.5249886697730286,4.188837765892728,-1.882536787636365,-2.0158117255163046,32.15709029211502,38.520294134873915,3470.0,90.67202457367911
B0005,15,1.8025980036306504,24,3.562746818017503,2.694621861688723,4.189110301768517,-1.8817935155260215,-2.0193509920362724,32.04407000314609,38.21358592965045,3450.297,90.12990018153252
B0005,16,1.80210690024615,24,3.5614521756489204,2.64010141737067,4.18921207304098,-1.8921861285036712,-2.0164420273602586,31.931593674911532,38.1983618706913,3429.407,90.10534501230751
B0005,17,1.802579500826209,24,3.5603420474985823,2.5739035098380962,4.188899969428112,-1.9027629207037406,-2.016465255161054,31.941655359029298,38.31926916027133,3409.484,90.12897504131045
B0005,18,1.8030683142834096,24,3.5591189041401865,2.4942396831720126,4.188779799856791,-1.9133470605822436,-2.0181069603406625,31.965008645476725,38.4787542519308,3390.422,90.15341571417048
B0005,19,1.8027776247196041,24,3.557886771846508,2.4556793246645583,4.189272591516219,-1.9131602105481538,-2.0170254305215485,31.966241678512723,38.54659017774874,3390.281,90.13888123598021
