battery_id,discharge_cycle_index,capacity_Ah,ambient_temperature_C,voltage_mean,voltage_min,voltage_max,current_mean,current_min,temperature_mean,temperature_max,discharge_duration_s,SoH_pct,SoH_pred,physics_SoH_pred,lower80,upper80,coulomb_counting_soc_pct,lower80_before,upper80_before,lower80_after,upper80_after
B0007,1,1.89105229539079,24,3.522006703394617,2.145975766935391,4.199497433806136,-1.8691188840185693,-1.996867242177128,32.62485875142121,40.59042914535701,3690.234,94.5526147695395,94.482155,95.59639831287132,94.30477672673814,94.65953327326189,4.2,94.30477672673814,94.65953327326187,93.90680542823564,95.05750457176437
B0007,2,1.880637027686859,24,3.531949043431712,2.111016698785212,4.198510349854315,-1.8680422715350309,-1.994391196351152,32.738209593287145,40.26023408628707,3672.344,94.03185138434294,94.17724,95.45258201131956,93.99986172673812,94.35461827326186,4.72,93.99986172673813,94.35461827326186,93.60189042823563,94.75258957176436
B0007,3,1.8806626717011388,24,3.5344025220217845,2.025108512818265,4.198280074112568,-1.877784734502072,-1.994681656822022,32.68511456550919,40.27558633997852,3651.641,94.03313358505694,94.056435,95.30904201566614,93.87905672673811,94.23381327326186,4.76,93.87905672673813,94.23381327326186,93.48108542823563,94.63178457176436
B0007,4,1.8807709009833444,24,3.53492504932652,1.922542180649595,4.198267468745592,-1.8875256535871228,-1.9952731083659303,32.554748499572646,40.29314715799111,3631.563,94.03854504916724,94.006134,95.16577779506062,93.82875572673814,94.18351227326188,4.8,93.82875572673814,94.18351227326187,93.43078442823564,94.58148357176437
B0007,5,1.879450872828505,24,3.534536640068787,1.871159045064988,4.198464224146956,-1.8871559747738404,-1.9935500451030048,32.46787845303298,40.2688726302198,3629.172,93.97254364142528,93.98491,95.02278881967244,93.80753172673812,94.16228827326186,4.88,93.80753172673813,94.16228827326186,93.40956042823564,94.56025957176436
B0007,6,1.8807003517117404,24,3.5411626672196816,2.175686706590344,4.197967993115647,-1.8675154082122565,-1.994104174576412,32.48624734055599,39.67620802332074,3652.281,94.03501758558704,94.02014,94.88007456068893,93.84276172673812,94.19751827326186,5.27,93.84276172673813,94.19751827326186,93.44479042823563,94.59548957176436
B0007,7,1.8799352523566075,24,3.541165612176161,2.111788715601944,4.198023461704379,-1.8673304059806155,-1.993164510431567,32.55779966353037,39.80381766292616,3650.828,93.99676261783036,94.005615,94.73763449031348,93.82823672673814,94.18299327326189,5.32,93.82823672673814,94.18299327326187,93.43026542823564,94.58096457176437
B0007,8,1.88150881240388,24,3.549458117635797,2.026250619894166,4.199372697237068,-1.9063154499484405,-1.9936540341331743,32.45374435641106,39.88810476942348,3572.453,94.075440620194,93.92212,94.59546808176344,93.74474172673814,94.09949827326189,5.41,93.74474172673814,94.09949827326187,93.34677042823564,94.49746957176437
B0007,9,1.8696907870385844,24,3.5502805464079743,1.950589433290604,4.19921182024681,-1.916425930003817,-1.99377953803378,32.373246444985035,39.95162250671474,3550.594,93.4845393519292,93.54913,94.45357480926825,93.37175172673814,93.72650827326189,5.49,93.37175172673814,93.72650827326187,92.97378042823564,94.12447957176437
B0007,10,1.870052380139199,24,3.5481347674910286,1.868824706765806,4.198957678253482,-1.9165016044519976,-1.99378312138298,32.30534276235138,40.05202185471829,3551.25,93.50261900695996,93.562126,94.31195414806749,93.38474772673814,93.73950427326189,5.47,93.38474772673814,93.73950427326187,92.98677642823564,94.13747557176437
B0007,11,1.8700442394188577,24,3.548427214895644,1.7896213776724978,4.198832114024662,-1.926771167846017,-1.9942511729128327,32.183319483399806,40.1213838436794,3530.25,93.50221197094288,93.3615,94.17060557440894,93.18412172673814,93.53887827326189,5.53,93.18412172673814,93.53887827326187,92.78615042823564,93.93684957176437
B0007,12,1.8596518987766364,24,3.5560433603714667,1.910336108594535,4.198945227315025,-1.936979366983281,-1.9938120330189373,32.378853181816005,40.174657039770814,3491.016,92.98259493883182,93.21166,94.0295285655466,93.03428172673812,93.38903827326186,6.08,93.03428172673813,93.38903827326186,92.63631042823563,93.78700957176436
B0007,13,1.8590746560862208,24,3.5604849642800684,1.9086884059809104,4.199051302806796,-1.947065774665518,-1.9942213710086447,32.2913249500013,40.016434730174936,3470.281,92.95373280431104,92.91837,93.88872259973888,92.74099172673812,93.09574827326186,6.15,92.74099172673813,93.09574827326186,92.34302042823563,93.49371957176436
B0007,14,1.8590084577709232,24,3.5562872542469752,1.7868782934275431,4.198107645780677,-1.946961601670498,-1.9939995868905829,32.14782797344657,40.16569230743226,3470.0,92.95042288854616,92.85803,93.74818715624644,92.68065172673812,93.03540827326188,6.17,92.68065172673813,93.03540827326187,92.28268042823564,93.43337957176436
